File_prefix	new_file_prefix	File	Strain.name	Assembly	Locus	BioSample	BioProject	Source	Paper	Dataset	Host	Generic_host	host_simple	Strain	Location	Country	Altered.Collection.Date	Collection.Date	Submission.Date	Species	Short.species	Assembly.Method	Genome.Representation	Largest.contig	Total.length	X..contigs.....0.bp.	Genome.Coverage	Sequencing.Technology	Assembly.Length	Journal	Authors	Title	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....0.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	GC....	N50	N75	L50	L75	X..N.s.per.100.kbp	Cluster.x	Lane	Study.number	Sample.number	Prodigiosin.producers	Bag.Number	Manual.species	Phenon_1977	Phenon_from_s_plymuthica_and_S_odorifera	Phenon_from_liq_prot_grim_complex_paper	Additional.Strain.Names	Date.on.tube	Biotype	Additional.Information	new_biotype_prev	new_biotype	ref_for_this_new_biotype	misc_biotype_info	two_word_species	Cluster.y	new_dataset	Mosquito	Collection	MosAIC_source_specific	MosAIC_source_lab	Location 	MosAIC_lab_field	Mosquito_spp	host_species_non_mosquito	life_stage_non_mosquito	sex_non_mosquito	tissue_non_mosquito	mosquito_species	mosquito_strain_lab	mosquito_life_stage	mosquito_sex	mosquito_female_feeding_status	mosquito_tissue
26968_7_37	26968_7_37	NA	1448	NA	NA	NA	NA	Cephalcia abietis	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Insect	Insect	1448	NA	Unknown	NA	NA	NA	Serratia proteamaculans	Serratia proteamaculans	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1732711	5346610	16	NA	Technology :: Illumina MiSeq	5347936	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	13	10	10	10	8	5347936	5346610	5336105	5336105	5336105	5261748	13	55.29	1315576	552198	2	4	0	Serratia proteamaculans	26968_7#37	5179STDY7638060	5_27	NA	5	Serratia proteamaculans	NA	NA	RB	ATCC35747;CCEB 841; 	NA	RB	NA	RB	RB	NA	NA	Serratia proteamaculans	7	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_38	26968_7_38	NA	5779	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	5779	NA	Unknown	NA	NA	NA	Serratia ficaria	Serratia ficaria	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	474973	5335429	86	NA	Technology :: Illumina MiSeq	5337501	NA	NA	NA	72	53	45	36	24	5337501	5328930	5279806	5225540	5092550	4639515	81	59.82	249961	118591	7	16	1.61	Serratia ficaria	26968_7#38	5179STDY7638061	6_39	NA	6	Serratia ficaria	NA	NA	NA	NA	04/06/1987	NA	G = 5779	NA	NA	NA	NA	Serratia ficaria	3	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_39	26968_7_39	NA	ARCHACHON	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	ARCHACHON	NA	Unknown	NA	NA	NA	Serratia fonticola	Serratia fonticola	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	707623	5741483	32	NA	Technology :: Illumina MiSeq	5744348	NA	NA	NA	21	21	20	19	16	5744348	5739720	5739720	5733854	5719008	5612844	24	53.8	424710	299732	5	9	6.01	Serratia fonticola	26968_7#39	5179STDY7638062	8_14	NA	8	Serratia fonticola	NA	NA	NA	NA	01/08/1998	NA	NA	NA	NA	NA	NA	Serratia fonticola	4	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_4	26968_7_4	NA	1403	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	1403	NA	Unknown	NA	NA	NA	Serratia proteamaculans subs. quinovorans	Serratia proteamaculans subs. quinovorans	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	3247105	5312767	11	NA	Technology :: Illumina MiSeq	5313099	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	10	9	9	9	7	5313099	5312767	5307780	5307780	5307780	5249070	10	55.13	3247105	545578	1	3	0.04	Serratia proteamaculans subsp. quinovorans	26968_7#4	5179STDY7638020	5_2	NA	5	Serratia proteamaculans	NA	NA	RQ	ATCC35476;CCEB 355; Dolerus gonager	NA	RQ	NA	RQ	RQ	NA	NA	Serratia proteamaculans	6	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_40	26968_7_40	NA	2_88	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	2_88	NA	Unknown	NA	NA	NA	Serratia fonticola	Serratia fonticola	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	595660	6105227	80	NA	Technology :: Illumina MiSeq	6106318	NA	NA	NA	75	69	66	57	37	6106318	6103857	6091948	6069801	5943065	5227288	77	53.35	128157	85679	14	28	5.21	Serratia fonticola	26968_7#40	5179STDY7638063	8_8	NA	8	Serratia fonticola	NA	NA	NA	NA	14/04/1988	NA	Second tube 08/98	NA	NA	NA	NA	Serratia fonticola	4	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_41	26968_7_41	NA	A6	NA	NA	NA	NA	Carew (Canterbury; New Zealand); mature pasture; 133 grass grubs/m2; 23% diseased	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Costelytra zealandica	Insect	A6	New Zealand: Canterbury: Carew	New Zealand	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	772798	5121597	46	NA	Technology :: Illumina MiSeq	5123241	NA	NA	Grimont; P. a. D. et al. (1988) 闂備胶鍋ㄩ崕鏌ュΧ缁叉笧ratia entomophila sp. nov. Associated with Amber Disease in the New Zealand Grass Grub Costelytra zealandica闂; International Journal of Systematic Bacteriology; 38(1); pp. 1闂6. doi: 10.1099/00207713-38-1-1.	39	33	31	26	22	5123241	5119471	5108553	5096727	5014487	4840651	42	58.95	235586	148503	6	13	0.1	Serratia entomophila	26968_7#41	5179STDY7638064	1_2_2	NA	1	Serratia entomophila	NA	NA	NA	NA	01/11/1986	A6	NA	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_42	26968_7_42	NA	4128	NA	NA	NA	NA	Moss	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Plant	Plant	4128	NA	Unknown	NA	NA	NA	Serratia proteamaculans	Serratia proteamaculans	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1425979	5351730	18	NA	Technology :: Illumina MiSeq	5353633	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	10	10	10	10	8	5353633	5349818	5349818	5349818	5349818	5270144	13	55.13	1368634	567878	2	4	0.09	Serratia proteamaculans subsp. quinovorans	26968_7#42	5179STDY7638065	3_15	NA	3	Serratia proteamaculans	NA	NA	RQ	NA	01/09/1980	RQ	NA	RQ	RQ	NA	NA	Serratia proteamaculans	6	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_43	26968_7_43	NA	3649	NA	NA	NA	NA	Lettuce	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Plant	Plant	3649	NA	Unknown	NA	NA	NA	Serratia liquefaciens	Serratia liquefaciens	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1532827	5276214	24	NA	Technology :: Illumina MiSeq	5278272	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	16	15	14	14	12	5278272	5274141	5272316	5265502	5265502	5208246	19	55.5	581249	319160	3	6	2.16	Serratia liquefaciens	26968_7#43	5179STDY7638066	3_4	NA	3	Serratia liquefaciens	NA	NA	S._liquefaciens_sensu_stricto	NA	11/06/1980	ab	NA	Clab	Clab	NA	NA	Serratia liquefaciens	2	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_44	26968_7_44	NA	1400	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	1400	NA	Unknown	NA	NA	NA	Serratia proteamaculans	Serratia proteamaculans	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	590602	5306959	39	NA	Technology :: Illumina MiSeq	5308929	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	32	31	30	25	21	5308929	5305511	5300786	5291891	5224568	5092615	34	54.87	307931	180071	7	12	0.04	Serratia proteamaculans	26968_7#44	5179STDY7638067	5_1	NA	5	Serratia proteamaculans	NA	NA	C1c	CCEB 371; Anasa tristis	NA	C1C	NA	C1c	C1c	NA	NA	Serratia proteamaculans	7	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_45	26968_7_45	NA	R13	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	R13	NA	Unknown	NA	NA	NA	Unknown Unknown	Unknown	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	2850378	5070505	21	NA	Technology :: Illumina MiSeq	5071573	NA	NA	NA	13	12	11	10	9	5071573	5067518	5066048	5060168	5040001	5009386	18	59.75	2850378	349509	1	3	0	Serratia marcescens	26968_7#45	5179STDY7638068	4_26	Red	4	Serratia marcescens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	1	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_46	26968_7_46	NA	Bordeaux	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	Bordeaux	NA	Unknown	NA	NA	NA	Serratia ficaria	Serratia ficaria	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	582874	5342238	62	NA	Technology :: Illumina MiSeq	5344458	NA	NA	NA	48	41	37	31	24	5344458	5336266	5316025	5283711	5193834	4920619	56	59.75	202586	130214	7	15	0.56	Serratia ficaria	26968_7#46	5179STDY7638069	6_40	NA	6	Serratia ficaria	NA	NA	NA	NA	04/11/1988	NA	figue No1 isolee Figue de Bordeaux	NA	NA	NA	NA	Serratia ficaria	3	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_47	26968_7_47	NA	2_85	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	2_85	NA	Unknown	NA	NA	NA	Serratia fonticola	Serratia fonticola	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	657858	5533742	36	NA	Technology :: Illumina MiSeq	5535841	NA	NA	NA	30	27	25	23	20	5535841	5533742	5529529	5514771	5488427	5392266	30	53.93	316910	215527	6	11	0.05	Serratia fonticola	26968_7#47	5179STDY7638070	8_15	NA	8	Serratia fonticola	NA	NA	NA	NA	NA	NA	G5974	NA	NA	NA	NA	Serratia fonticola	4	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_48	26968_7_48	NA	2_89	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	2_89	NA	Unknown	NA	NA	NA	Serratia fonticola	Serratia fonticola	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	575958	5555561	37	NA	Technology :: Illumina MiSeq	5557029	NA	NA	NA	31	30	30	25	22	5557029	5554388	5552094	5552094	5467535	5372918	33	53.84	372396	174725	6	12	0.04	Serratia fonticola	26968_7#48	5179STDY7638071	8h	NA	NA	Serratia fonticola	NA	NA	NA	NA	07/02/1989	NA	NA	NA	NA	NA	NA	Serratia fonticola	4	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_49	26968_7_49	NA	200	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	200	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1662884	5344880	39	NA	Technology :: Illumina MiSeq	5349210	NA	NA	NA	22	18	14	11	10	5349210	5340379	5330344	5303802	5250814	5214944	28	54.95	1477242	340134	2	4	2.88	Serratia proteamaculans subsp. quinovorans	26968_7#49	5179STDY7638072	17_4	NA	17	Serratia proteamaculans	NA	NA	NA	NA	16/07/1992	NA	NA	NA	NA	NA	NA	Serratia entomophila	6	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_5	26968_7_5	NA	A1	NA	NA	NA	NA	Fairton (Canterbury; New Zealand); mature pasture; 550 grass grubs/m2; 65% diseased	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Costelytra zealandica	Insect	A1	New Zealand: Canterbury: Fairton	New Zealand	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	765084	5084040	35	NA	Technology :: Illumina MiSeq	5085628	NA	NA	Grimont; P. a. D. et al. (1988) 闂備胶鍋ㄩ崕鏌ュΧ缁叉笧ratia entomophila sp. nov. Associated with Amber Disease in the New Zealand Grass Grub Costelytra zealandica闂; International Journal of Systematic Bacteriology; 38(1); pp. 1闂6. doi: 10.1099/00207713-38-1-1.	29	25	24	23	19	5085628	5082809	5072476	5064949	5051136	4893767	31	58.99	303344	179662	6	11	0.06	Serratia entomophila	26968_7#5	5179STDY7638022	7_2	NA	7	Serratia entomophila	NA	NA	NA	NA	23/02/1987	biotype 1	Envoye ATCC + CiP	Sen 1b	Sen 1b	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_50	26968_7_50	NA	4368	NA	NA	NA	NA	Moss	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Plant	Plant	4368	NA	Unknown	NA	NA	NA	Serratia liquefaciens	Serratia liquefaciens	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1135466	5426686	14	NA	Technology :: Illumina MiSeq	5426686	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	13	13	13	12	12	5426686	5425909	5425909	5425909	5408866	5408866	14	55.22	758151	337763	3	6	0.02	Serratia proteamaculans	26968_7#50	5179STDY7638074	3_40	NA	3	Serratia proteamaculans	NA	NA	RB	NA	01/09/1980	RB	NA	RB	RB	NA	NA	Serratia liquefaciens	7	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_51	26968_7_51	NA	4308	NA	NA	NA	NA	Digestive tract of rodent Clethrionomys glareolus	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Animal	Animal	4308	NA	Unknown	NA	NA	NA	Serratia proteamaculans	Serratia proteamaculans	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1624786	5339461	27	NA	Technology :: Illumina MiSeq	5341636	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	18	17	16	16	13	5341636	5337641	5335119	5329510	5329510	5208204	21	55.03	502339	329063	3	7	0.71	Serratia proteamaculans	26968_7#51	5179STDY7638075	5_10	NA	5	Serratia proteamaculans	NA	NA	EB	NA	NA	EB	NA	EB	EB	NA	NA	Serratia proteamaculans	7	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_52	26968_7_52	NA	1417	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	1417	NA	Unknown	NA	NA	NA	Serratia proteamaculans	Serratia proteamaculans	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	3314043	4992245	13	NA	Technology :: Illumina MiSeq	4993756	NA	NA	NA	8	8	8	8	7	4993756	4991656	4991656	4991656	4991656	4958693	9	55.21	3314043	461828	1	2	0.04	Serratia proteamaculans	26968_7#52	5179STDY7638076	5_3	NA	5	Serratia proteamaculans	NA	NA	C1c	NA	NA	C1C	NA	C1c	C1c	NA	NA	Serratia proteamaculans	7	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_53	26968_7_53	NA	4027	NA	NA	NA	NA	Caprifig	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Plant	Plant	4027	USA: California:Winters	USA	NA	September; 1977	NA	Unknown Unknown	Unknown	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1151550	5234493	31	NA	Technology :: Illumina MiSeq	5236887	NA	NA	Grimont; P. A. D.; Grimont; F. and Starr; M. P. (1979) 闂備胶鍋ㄩ崕鏌ュΧ缁叉笧ratia ficaria sp. nov.; a bacterial species associated with Smyrna figs and the fig wasp Blastophaga psenes闂; Current Microbiology; 2(5); pp. 277闂282. doi: 10.1007/BF02602859.	23	18	18	16	13	5236887	5233119	5223245	5223245	5186716	5076593	25	60.03	588881	264708	4	7	0.04	Serratia ficaria	26968_7#53	5179STDY7638077	6_42	NA	6	Serratia ficaria	NA	NA	NA	ICPB 4053	NA	NA	NA	NA	NA	NA	NA	Unknown	3	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_54	26968_7_54	NA	G5979/4491	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	G5979/4491	NA	Unknown	NA	NA	NA	Serratia fonticola	Serratia fonticola	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	562885	5664118	45	NA	Technology :: Illumina MiSeq	5664828	NA	NA	NA	41	39	36	32	28	5664828	5662873	5659798	5635530	5573845	5421734	43	53.87	233362	140392	8	16	0.23	Serratia fonticola	26968_7#54	5179STDY7638078	8_18	NA	8	Serratia fonticola	NA	NA	NA	NA	01/04/1988	NA	NA	NA	NA	NA	NA	Serratia fonticola	4	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_55	26968_7_55	NA	503	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	503	NA	Unknown	NA	NA	NA	Serratia grimesii	Serratia grimesii	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	2880465	5046653	16	NA	Technology :: Illumina MiSeq	5047120	NA	NA	ATCC14460; Aerobacter lipolyticus; Grimes; cotype (Sneath and Sker;an; 1966; and see Grimes; 1961; Grimes and Hennerty; 1931; American type Culture Collection; 1964)$	14	11	10	10	8	5047120	5045973	5035172	5030169	5030169	4969868	15	52.77	2880465	443343	1	3	0	Serratia grimesii	26968_7#55	5179STDY7638079	9_14	NA	9	Serratia grimesii	C1	C1d	S._grimesii_typical	ATCC14460	01/04/1996	503	NA	C1d	C1d	liq_prot_grim_complex_paper	NA	Serratia grimesii	9	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_57	26968_7_57	NA	4219	NA	NA	NA	NA	Dandelion	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Plant	Plant	4219	NA	Unknown	NA	NA	NA	Serratia liquefaciens	Serratia liquefaciens	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	286287	5549789	89	NA	Technology :: Illumina MiSeq	5550884	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	82	74	62	52	39	5550884	5547230	5529440	5443968	5291319	4830117	86	55.57	138209	73214	15	29	0	Serratia liquefaciens	26968_7#57	5179STDY7638081	3_19	NA	3	Serratia liquefaciens	NA	NA	S._liquefaciens_sensu_stricto	NA	01/09/1980	sensu stricto ;C1ab - check the paper	NA	Clab	Clab	NA	NA	Serratia liquefaciens	2	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_58	26968_7_58	NA	6714	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	6714	NA	Unknown	NA	NA	NA	Serratia liquefaciens	Serratia liquefaciens	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	3007482	5281904	21	NA	Technology :: Illumina MiSeq	5285142	NA	NA	NA	11	10	10	9	8	5285142	5280487	5277867	5277867	5263988	5226187	13	55.48	3007482	488678	1	3	0	Serratia liquefaciens	26968_7#58	5179STDY7638082	4_11	NA	4	Serratia liquefaciens	NA	NA	NA	NA	01/01/1994	CiP	CiP or CiR???	NA	NA	NA	NA	Serratia liquefaciens	2	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_59	26968_7_59	NA	4330	NA	NA	NA	NA	Grass	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Environmental	Environmental	4330	NA	Unknown	NA	NA	NA	Serratia proteamaculans	Serratia proteamaculans	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	884974	5207795	43	NA	Technology :: Illumina MiSeq	5209819	NA	NA	Grimont; P. A. D.; Grimont; F. and Irino; K. (1982) 闂備胶鍋ㄩ崕鏌ュΧochemical characterization of Serratia liquefaciens sensu stricto; Serratia proteamaculans; and Serratia grimesii sp. nov.闂; Current Microbiology; 7(2); pp. 69闂74. doi: 10.1007/BF01568416.	37	35	33	31	24	5209819	5207795	5205403	5191139	5153704	4879340	37	54.99	222874	136690	7	14	0.06	Serratia proteamaculans	26968_7#59	5179STDY7638083	5_12	NA	5	Serratia proteamaculans	NA	NA	EB	NA	NA	EB	NA	EB	EB	NA	NA	Serratia proteamaculans	7	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_6	26968_7_6	NA	5217	NA	NA	NA	NA	NA	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	NA	Missing	5217	NA	Unknown	NA	NA	NA	Serratia fonticola	Serratia fonticola	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1903966	6046368	39	NA	Technology :: Illumina MiSeq	6049826	NA	NA	NA	28	24	24	19	12	6049826	6045122	6036007	6036007	5975071	5706719	30	53.59	706690	358612	3	6	0.53	Serratia fonticola	26968_7#6	5179STDY7638023	8_26	NA	8	Serratia fonticola	NA	NA	NA	NA	08/03/1990	NA	zeue M H Nicola	NA	NA	NA	NA	Serratia fonticola	4	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26968_7_60	26968_7_60	NA	390	NA	NA	NA	NA	Water	Grimont collection (Institut Pasteur)	Grimont collection (Institut Pasteur)	NA	Water	Environmental	390	NA	Unknown	NA	NA	NA	Serratia entomophila	Serratia entomophila	Method :: Sanger Pathogens Assembly Pipeline	Representation :: Draft	1693793	4926966	28	NA	Technology :: Illumina MiSeq	4927679	NA	NA	NA	21	17	16	15	12	4927679	4923190	4914641	4908080	4892190	4784400	26	59.26	1020604	221127	2	5	0.59	Serratia entomophila	26968_7#60	5179STDY7638084	15_22 repeat	NA	15	Serratia entomophila	NA	NA	S._grimesii_typical	CCM 2718; check this - could be contamination	16/07/1992	NA	NA	NA	NA	NA	NA	Serratia entomophila	5	Grimont collection (Institut Pasteur)	NonMosquito	Williams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
