internal_id,seq_run,seq_sumission_date,data_return_date,internal_date_isolate_received,source_lab,isolation_date,sample_location,sample_location_lat,sample_location_lon,sample_source,lab_field_derived,host_species_non_mosquito,life_stage_non_mosquito,sex_non_mosquito,tissue_non_mosquito,mosquito_species,mosquito_strain_lab,mosquito_life_stage,mosquito_sex,mosquito_female_feeding_status,mosquito_tissue,confirmed_growth_media,confirmed_growth_temp,qc_pass,completeness,contamination,genome_size_bp,number_contigs,mean_contig_length_bp,longest_contig_bp,gc,number_predicted_genes,n50,total_reads,avg_coverage,gtdb_domain,gtdb_parent,gtbd_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,fastani_reference,fastani_ani,fastani_af,SR_accession_no,ER_accession_no,fastani_ani,fastani_af,SR_accession_no,ER_accession_no
AS096,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,25-Aug-20,"Cook_County,IL,USA;North_America",42.084511,-87.963524,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.96,0,3508081,59,59459,674056,38.3,3321,212075,3775478,159,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,GCF_000369005.1,96.72,0.91,,,96.72,0.91,,
AS113,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,20-Sep-20,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.99,0.94,4990055,88,56705,454838,54.6,4700,242912,5346556,158,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea sp000277545,GCF_000277545.1,98.84,0.95,,,98.84,0.95,,
AS116,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,20-Sep-20,"Cook_County,IL,USA;North_America",42.08348817,-87.9549873,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0,3323739,189,17585,653824,38.5,3262,325545,3748717,167,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter junii,GCF_000368765.1,97.39,0.85,,,97.39,0.85,,
AS124,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,02-Oct-20,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,APW,28,Pass,99.07,0.04,4737567,76,62336,728456,56,4416,354441,4452984,139,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii,GCF_001729805.1,98.31,0.92,,,98.31,0.92,,
AS126,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,02-Oct-20,"Cook_County,IL,USA;North_America",42.0820436,-87.95376453,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.28,0.33,3844711,79,48667,1774414,56,3557,407278,5820237,224,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucrina_A,GCF_001691555.1,99.26,0.95,,,99.26,0.95,,
AS129,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,08-Oct-20,"Cook_County,IL,USA;North_America",42.0845387,-87.956346,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.19,4887144,70,69816,2129047,55.1,4494,649680,4879488,147,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea agglomerans,GCF_001598475.1,98.46,0.94,,,98.46,0.94,,
AS139,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,14-Oct-20,"Cook_County,IL,USA;North_America",42.084493,-87.966033,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.44,4828431,89,54252,1049147,55,4436,432218,5145554,158,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea agglomerans,GCF_001598475.1,98.08,0.94,,,98.08,0.94,,
AS142,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,14-Oct-20,"Cook_County,IL,USA;North_America",42.08304237,-87.9538315,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.3,4699479,62,75798,1009145,54.3,4387,303619,5523413,174,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,NA,N/A,N/A,N/A,,,N/A,N/A,,
AS167,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,12-Jan-21,"Madison,WI,USA;North_America",43.075,-89.417,non_mosquito_Diptera_host,lab,Musca_domestica,larvae,unk,whole_body,NA,NA,NA,NA,NA,whole_body,R2A,28,Pass,99.93,1.23,4370714,95,46007,699781,37.7,4058,371111,5178607,175,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,N/A,N/A,N/A,,,N/A,N/A,,
AS170,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,12-Jan-21,"Madison,WI,USA;North_America",43.075,-89.417,non_mosquito_Diptera_host,lab,Musca_domestica,pupae,unk,whole_body,NA,NA,NA,NA,NA,whole_body,YPD,28,Pass,99.86,0.22,5301274,40,132531,1097923,59.1,4933,603023,5453949,152,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia bockelmannii,GCF_000513215.1,99.01,0.95,,,99.01,0.95,,
AS183,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,non_mosquito_Diptera_host,lab,Musca_domestica,larvae,unk,whole_body,NA,NA,NA,NA,NA,whole_body,BHI,28,Pass,99.67,0.2,4658682,44,105879,2532842,54.8,4374,2532842,4516328,142,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,UBA7405,UBA7405 sp000755535,GCF_017348915.1,98.61,0.92,,,98.61,0.92,,
HN003,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,08-Feb-21,"Cook_County,IL,USA;North_America",unk,unk,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.68,5071515,75,67620,538138,54.9,4728,348912,4693065,137,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea agglomerans,GCF_001598475.1,98.41,0.95,,,98.41,0.95,,
HN007,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,02-Mar-21,"Madison,WI,USA;North_America",43.075,-89.417,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,Liverpool,adults,female,non_blood_fed,midgut,YPD,28,Pass,99.07,0.04,4772970,82,58206,763055,56,4466,281973,4652594,144,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii,GCF_001729805.1,98.28,0.91,,,98.28,0.91,,
HN010,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,02-Mar-21,"Madison,WI,USA;North_America",43.075,-89.417,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,Liverpool,adults,female,non_blood_fed,midgut,YPD,28,Pass,100,0,3453119,60,57551,798533,59.2,3130,485741,5945782,255,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,NA,N/A,N/A,N/A,,,N/A,N/A,,
HN019,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,15-Apr-21,"Cook_County,IL,USA;North_America",42.08275985,-87.954972,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.49,4739213,64,74050,2243839,54.3,4407,567183,3949777,118,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea eucalypti,GCF_009646115.1,99.06,0.96,,,99.06,0.96,,
HN020,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,15-Apr-21,"Cook_County,IL,USA;North_America",42.08275985,-87.954972,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.34,3589279,41,87543,818565,41.5,3412,432312,4606404,181,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,GCF_000368045.1,95.44,0.83,,,95.44,0.83,,
HN022,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,15-Apr-21,"Cook_County,IL,USA;North_America",42.08195568,-87.95507262,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.36,4939142,73,67659,1575888,55.1,4555,539596,3793692,111,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea agglomerans,GCF_001598475.1,98.51,0.95,,,98.51,0.95,,
HN028,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,15-Apr-21,"Cook_County,IL,USA;North_America",42.08195568,-87.95507262,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.67,0.08,4577781,47,97399,946278,52.9,4298,380321,4217216,132,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia,Lelliottia amnigena,GCA_900635465.1,98.74,0.95,,,98.74,0.95,,
HN034,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,30-Apr-21,"Cook_County,IL,USA;North_America",42.087311,-87.966006,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,1.28,3810513,115,33134,1124328,38.9,3617,962337,3709498,137,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii_H,GCF_002928115.1,96.87,0.93,,,96.87,0.93,,
HN037,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,30-Apr-21,"Cook_County,IL,USA;North_America",42.085377,-87.965992,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.6,0.46,4741188,74,64070,1676212,55.8,4354,696606,4100682,123,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,Leclercia adecarboxylata,GCA_901472455.1,98.44,0.96,,,98.44,0.96,,
HN039,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,30-Apr-21,"Cook_County,IL,USA;North_America",42.084493,-87.966033,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.81,0,4980970,29,171757,3038306,59.8,4600,3038306,4406513,127,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,GCF_017299535.1,98.56,0.94,,,98.56,0.94,,
HN041,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,30-Apr-21,"Cook_County,IL,USA;North_America",42.085391,-87.964793,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.82,4010548,128,31332,1365909,38.7,3805,1159589,3698637,131,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii_H,GCF_002928115.1,96.75,0.92,,,96.75,0.92,,
HN047,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,99.69,0.66,3797551,81,46883,453183,38.3,3701,358797,5142831,201,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter modestus,GCF_014636095.1,96.89,0.87,,,96.89,0.87,,
HN049,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,99.07,0.04,4771698,74,64482,728456,56,4465,292745,5580693,173,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii,GCF_001729805.1,98.31,0.91,,,98.31,0.91,,
HN059,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Cook_County,IL,USA;North_America",42.085391,-87.964793,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.5,3907018,131,29824,1089556,38.9,3751,496586,3602382,130,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii_H,GCF_002928115.1,96.7,0.9,,,96.7,0.9,,
HN065,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,99.07,0.04,4773022,83,57506,728456,56,4467,281973,3787730,112,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii,GCF_001729805.1,98.31,0.91,,,98.31,0.91,,
HN067,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,100,0.41,4083460,180,22685,487419,38.8,3947,204748,3919068,137,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,GCF_000369045.1,96.92,0.93,,,96.92,0.93,,
HN068,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,99.96,0.55,3905531,78,50070,721982,38.3,3849,373175,4027290,146,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter modestus,GCF_014636095.1,96.89,0.9,,,96.89,0.9,,
HN069,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,99.97,0.53,4855634,101,48075,586187,55.8,4553,319311,4036317,119,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,GCF_007035645.1,98.24,0.91,,,98.24,0.91,,
HN071,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,100,0.41,4085414,190,21502,487210,38.8,3953,204748,3680913,128,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,GCF_000369045.1,96.94,0.93,,,96.94,0.93,,
HN073,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.97,0.53,4850928,119,40764,586187,55.8,4558,281608,3894183,114,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,GCF_007035645.1,98.23,0.91,,,98.23,0.91,,
HN079,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,mosquito,lab,NA,NA,NA,NA,Culex_pipiens,Iowa,adults,female,non_blood_fed,midgut,R2A,28,Pass,99.98,0.32,5767174,170,33924,378099,53.4,5347,155842,5254907,135,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Chania,Chania oryzae,GCF_001976145.1,96.63,0.85,,,96.63,0.85,,
HN117,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,UGAL,adults,female,blood_fed,whole_body,BHI,28,Pass,99.8,0,5466773,81,67491,895517,59.6,5118,249019,6269093,169,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia nevei,GCF_016742975.1,98.66,0.89,,,98.66,0.89,,
HN118,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,UGAL,adults,female,blood_fed,whole_body,TSA,28,Pass,99.81,0,5506515,82,67152,895517,59.4,5153,249017,5478969,147,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia nevei,GCF_016742975.1,98.65,0.88,,,98.65,0.88,,
HN119,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,UGAL,adults,female,blood_fed,whole_body,TSA,28,Pass,99.8,0,5506321,76,72451,895517,59.4,5155,360078,6262612,168,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia nevei,GCF_016742975.1,98.65,0.89,,,98.65,0.89,,
HN120,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,UGAL,eggs,unk,NA,NA,BHI,28,Pass,99.97,0.33,4597730,70,65681,1948661,56,4255,734205,5854056,188,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,GCF_007035645.1,98.53,0.95,,,98.53,0.95,,
HN121,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,UGAL,adults,female,non_blood_fed,whole_body,BHI,28,Pass,99.69,0.28,3217837,31,103801,671633,43.2,2961,418029,4589594,211,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli,GCF_000760595.1,98.41,0.94,,,98.41,0.94,,
HN122,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,UGAL,eggs,unk,NA,NA,BHI,28,Pass,99.69,0.28,3318459,50,66369,707013,43.1,3072,381431,5063210,226,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter soli,GCF_000760595.1,98.28,0.93,,,98.28,0.93,,
HN123,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_atropalpus,Rockpool,larvae,unk,NA,whole_body,R2A,28,Pass,99.96,0.55,3850815,58,66393,1196043,38.4,3782,480648,3457592,133,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter modestus,GCF_014636095.1,96.91,0.9,,,96.91,0.9,,
HN124,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_atropalpus,Rockpool,larvae,unk,NA,whole_body,BHI,28,Pass,99.97,0.33,4698706,86,54636,1847867,55.9,4386,734205,3964242,125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,GCF_007035645.1,98.43,0.95,,,98.43,0.95,,
HN125,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_atropalpus,Rockpool,larvae,unk,NA,whole_body,BHI,28,Pass,99.97,0.33,4697227,78,60220,1643138,55.9,4384,836167,4395631,138,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,GCF_007035645.1,98.42,0.95,,,98.42,0.95,,
HN126,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_atropalpus,Rockpool,larvae,unk,NA,whole_body,R2A,28,Pass,99.96,0.55,3849786,51,75486,1196642,38.4,3782,751150,3877152,149,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter modestus,GCF_014636095.1,96.95,0.9,,,96.95,0.9,,
HN127,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,01-Jul-21,"Athens,GA,USA;North_America",33.948006,-83.377319,mosquito,lab,NA,NA,NA,NA,Aedes_atropalpus,Rockpool,larvae,unk,NA,whole_body,R2A,28,Pass,99.96,0.55,3848392,50,76967,1195390,38.3,3784,750298,3881301,143,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter modestus,GCF_014636095.1,96.93,0.9,,,96.93,0.9,,
HN128,UW-1,29-Sep-21,01-Nov-21,NA,Coon_Kerri,21-Jul-21,"Madison,WI,USA;North_America",43.075,-89.417,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,Thai,adults,female,non_blood_fed,midgut,YPD,28,Pass,99.5,0,3715003,85,43705,489182,60.3,3435,353636,4941656,197,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,Asaia sp003994335,GCF_003994335.1,99.99,0.96,,,99.99,0.96,,
HN087,UW-2,07-Jul-22,19-Aug-22,NA,Coon_Kerri,2021,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.97,0.53,4850065,112,43304,959184,55.8,4549,285671,4628592,141,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,GCF_007035645.1,98.25,0.91,,,98.25,0.91,,
HN091,UW-2,07-Jul-22,19-Aug-22,NA,Coon_Kerri,25-Jun-21,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.97,0.53,4849974,108,44907,959184,55.8,4551,304348,4242200,130,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,GCF_007035645.1,98.23,0.91,,,98.23,0.91,,
HN093,UW-2,07-Jul-22,19-Aug-22,NA,Coon_Kerri,25-Jun-21,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,100,0.41,4080438,150,27202,487325,38.8,3917,172900,3328817,122,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,GCF_000369045.1,96.93,0.93,,,96.93,0.93,,
HN099,UW-2,07-Jul-22,19-Aug-22,NA,Coon_Kerri,25-Jun-21,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,100,0.41,4043808,153,26430,422597,38.8,3865,179263,2596485,96,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,GCF_000369045.1,96.97,0.92,,,96.97,0.92,,
HN100,UW-2,07-Jul-22,19-Aug-22,NA,Coon_Kerri,25-Jun-21,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,99.07,0.04,4821613,80,60270,728456,56,4515,281973,3790533,117,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii,GCF_001729805.1,98.3,0.9,,,98.3,0.9,,
HN105,UW-2,07-Jul-22,19-Aug-22,NA,Coon_Kerri,25-Jun-21,"Madison,WI,USA;North_America",43.075,-89.417,mosquito_larval_water,lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LB,28,Pass,99.93,2.03,4631744,103,44968,623276,37.9,4372,226098,3097618,99,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,GCF_000368925.1,97.78,0.88,,,97.78,0.88,,
HN109,UW-2,07-Jul-22,19-Aug-22,NA,Coon_Kerri,28-Jun-21,"Madison,WI,USA;North_America",43.075,-89.417,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,Liverpool,adults,female,blood_fed,midgut,R2A,28,Pass,99.07,0.04,4772749,84,56818,728456,56,4468,281973,3318769,103,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii,GCF_001729805.1,98.33,0.91,,,98.33,0.91,,
HN110,UW-2,07-Jul-22,19-Aug-22,NA,Coon_Kerri,28-Jun-21,"Madison,WI,USA;North_America",43.075,-89.417,mosquito,lab,NA,NA,NA,NA,Aedes_aegypti,Liverpool,adults,female,blood_fed,midgut,R2A,28,Pass,99.07,0.04,4854272,83,58485,763110,56,4562,281973,3852977,118,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii,GCF_001729805.1,98.29,0.9,,,98.29,0.9,,
HN132,UW-2,07-Jul-22,19-Aug-22,NA,Coon_Kerri,19-Aug-21,"Lansing,IL,USA;North_America",41.565785,-87.545791,mosquito_larval_water,field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2A,28,Pass,99.96,0.55,3621917,98,36958,500870,38.4,3522,273786,10608924,436,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter modestus,GCF_014636095.1,97.04,0.87,,,97.04,0.87,,
